Country ID,Country,Investment,Count
arg,Argentina,42815.22055791808,8376
aus,Australia,14605.249386151321,1226
aut,Austria,1079.2781240032054,594
bel,Belgium,49754.451230570325,1576
blz,Belize,7.614274360239506,77
bra,Brazil,14754.237905136775,2592
can,Canada,151962.81595493562,55280
che,Switzerland,27221.235226358403,5883
chl,Chile,1460.9953666563379,2378
chn,China,4070.2502969745547,4340
col,Colombia,3277.364202862489,5361
cri,Costa Rica,39.566956476308405,313
cze,Czech Republic,10.174661964178085,79
deu,Germany,104773.90696998395,17219
dnk,Denmark,3303.311511252017,940
ecu,Ecuador,219.068663302809,260
esp,Spain,235298.28634434796,33315
fin,Finland,1742.5661910176277,258
fra,France,35391.83105395197,13605
gbr,United Kingdom,57158.33280106608,11176
gtm,Guatemala,129.32716520735994,480
hkg,Hong Kong,3516.4655136195943,487
idn,Indonesia,100.61257553100586,9
ind,India,449.8227185946889,553
irl,Ireland,13303.333393095527,1137
isr,Israel,6383.353778204648,858
ita,Italy,20536.47219250391,10970
jpn,Japan,101203.06000266186,13794
kor,South Korea,29436.74905425962,7798
lux,Luxembourg,11543.183226343011,567
mys,Malaysia,4.738080635666847,16
nic,Nicaragua,0.8701180219650269,3
nld,Netherlands,44417.25522655774,8199
nor,Norway,743.4795792869991,230
nzl,New Zealand,124.57072342932224,192
pan,Panama,962.3114309292287,1313
per,Peru,133.68651384740951,852
phl,Philippines,11.539913266897202,117
pol,Poland,28.09571889322251,266
pri,Puerto Rico,0.024875999428331852,9
prt,Portugal,95.45913950796239,261
rus,Russia,52.552829020889476,488
sgp,Singapore,1941.6916598379612,300
slv,El Salvador,15.87898919545114,171
swe,Sweden,5941.648102034815,1804
ury,Uruguay,398.51581066148356,653
usa,United States,955411.8881598403,376322
ven,Venezuela,521.4671624944895,5802
xxa,Unknown,52874.01088596575,8308
zaf,South Africa,1524.644007153809,163
