Sector ID,Sector,Year,GDP
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",1993,79188.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",1994,81539.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",1995,100801.5
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",1996,150412.5
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",1997,174868.75
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",1998,199015.5
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",1999,210631.75
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2000,221672.75
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2001,239882.75
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2002,243471.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2003,264912.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2004,294648.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2005,294555
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2006,327259.5
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2007,366445.5
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2008,391550.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2009,395298.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2010,431895.75
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2011,454341.75
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2012,503927.75
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2013,512780.75
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2014,549051
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2015,593238.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2016,673890
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2017,743133.75
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2018,797094.5
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2019,832794.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2020,893895
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2021,1009594.25
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2022,1150923.5
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2023,1214427.5
11,"Agriculture, animal breeding and production, forestry, fishing and hunting",2024,1153748
21,Mining,1993,95249
21,Mining,1994,98542.25
21,Mining,1995,145586.25
21,Mining,1996,186202.75
